school_name,curriculum,dsib_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,khda_lowest_fee,khda_highest_fee,khda_average_fee,transport_fee_min_aed,transport_fee_max_aed,source_url,notes
Uptown International School (Br. of Taaleem Management LLC),International Baccalaureate,Very good,mirdif,62929.0,,,88101.0,88101.0,96461.0,96461.0,AED,Annual,38044.0,96461.0,72305.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4423&CenterID=1014,
Jumeira Baccalaureate School,International Baccalaureate,Very good,jumeira first,64201.0,,,83459.0,83459.0,96300.0,96300.0,AED,Annual,62727.0,96300.0,80386.0,5000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4318&CenterID=509,
GEMS First Point School L.L.C,UK,Very good,dubai land,,44288.0,44288.0,58274.0,64102.0,69929.0,75756.0,AED,Annual,43271.0,75756.0,58654.0,5250.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4439&CenterID=2261,
Kings School Nad Al Sheba L.L.C,UK,Very good,nadd al shiba first,,58289.0,58289.0,73965.0,89341.0,96618.0,105318.0,AED,Annual,42271.0,96618.0,69990.0,6000.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4440&CenterID=2410,
Ranches Primary School,UK,Very good,arabian ranches,,50436.0,50436.0,61643.0,,,,AED,Annual,49278.0,61643.0,58166.0,6500.0,7500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5467&CenterID=14450,
Credence High School L.L.C,Indian,Very good,al qouz first,16923.0,,,23691.0,28204.0,28736.0,28736.0,AED,Annual,16534.0,28736.0,22746.0,3500.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4437&CenterID=1604,
Jebel Ali School (Br of Taaleem Management (L L C)),UK,Very good,jabal ali first,,49636.0,49636.0,49636.0,89774.0,89774.0,101671.0,AED,Annual,48496.0,101671.0,69150.0,5000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=218&CenterID=14719,
Bilingual French International School L.L.C-FZ,French,Very good,meydan city,63926.0,,,84868.0,90378.0,96306.0,100688.0,AED,Annual,48459.0,96306.0,76714.0,1000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4435&CenterID=1440,
Brighton College Dubai L.L.C,UK,Very good,al barsha second,,70539.0,88174.0,100298.0,112421.0,117933.0,117933.0,AED,Annual,68919.0,117933.0,100381.0,8000.0,15000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5514&CenterID=152035,
Sunmarke School FZE,IB,Very good,al khail,,61643.0,67248.0,78456.0,89664.0,100872.0,106475.0,AED,Annual,60228.0,106475.0,86027.0,6440.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5475&CenterID=152056,
