school_name,curriculum,dsib_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,khda_lowest_fee,khda_highest_fee,khda_average_fee,transport_fee_min_aed,transport_fee_max_aed,source_url,notes
Sabari Indian School L.L.C,Indian,Good,deira,16100.0,,,18587.0,18587.0,18151.0,21146.0,AED,Annual,15730.0,19591.0,17381.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4424&CenterID=1235,
GEMS International School Al Khail L.L.C,International Baccalaureate,Good,al khail,54301.0,,,70827.0,75550.0,79488.0,,AED,Annual,51212.0,79488.0,65275.0,5720.0,9480.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4433&CenterID=1477,
Capital School L.L.C,UK,Good,al qusais first,,40000.0,40000.0,55900.0,61200.0,61200.0,,AED,Annual,40000.0,66600.0,54029.0,5000.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4445&CenterID=2149,
ST MARY HIGH SCHOOL MUHAISNAH L.L.C,UK,Good,muhaisanah fourth,,12498.0,12498.0,15906.0,17043.0,19479.0,,AED,Annual,12211.0,24177.0,16815.0,5900.0,7300.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5468&CenterID=14739,
DEWA Academy,Ministry of Education \ BTEC,Good,al hudaiba,,,,,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5490&CenterID=15002,
GEMS Metropole School - Dubai Branch,UK,Good,motor city,,38393.0,41884.0,45374.0,51190.0,51190.0,51190.0,AED,Annual,37511.0,51190.0,46846.0,9356.0,9797.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4442&CenterID=2256,
The Arbor School L.L.C,UK,Good,al furjan,,58806.0,58806.0,79808.0,94510.0,94510.0,97232.0,AED,Annual,57456.0,97232.0,79233.0,4200.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5493&CenterID=151915,
GEMS Founders School Mizhar,UK,Good,al mizhar first,,24877.0,28122.0,30285.0,32448.0,35694.0,37856.0,AED,Annual,24306.0,37856.0,31577.0,6300.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5511&CenterID=151816,
Clarion School L.L.C,American,Good,al qouz first,63120.0,,,94680.0,94680.0,,,AED,Annual,42080.0,94680.0,74788.0,7500.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5484&CenterID=15083,
American School of Creative Science L.L.C,American,Good,nadd al shiba second,35822.0,,,59875.0,59875.0,66528.0,72669.0,AED,Annual,35000.0,66528.0,49901.0,5200.0,8300.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5482&CenterID=15159,
Al Mawakeb School Al Khawaneej L.L.C,American,Good,al mizhar first,39209.0,,,55758.0,63113.0,67655.0,69602.0,AED,Annual,35350.0,69602.0,51511.0,8700.0,13500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5516&CenterID=151988,
Dwight School L.L.C,International Baccalaureate,Good,dubai sports city,84597.0,,,98511.0,102963.0,110755.0,110755.0,AED,Annual,63622.0,110755.0,90631.0,8500.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5513&CenterID=152031,
Newlands School,UK,Good,al warqa first,,21372.0,21372.0,29387.0,35397.0,,40072.0,AED,Annual,20881.0,40072.0,29300.0,6810.0,7430.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5500&CenterID=152441,
Dunecrest American School L.L.C,American,Good,al barari,67060.0,,,89774.0,96263.0,96263.0,,AED,Annual,48612.0,96263.0,82542.0,4200.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5504&CenterID=152311,
Pearl Wisdom School L.L.C,Indian,Good,hor al anz,16081.0,,,19408.0,21072.0,23290.0,23290.0,AED,Annual,15712.0,21072.0,17939.0,3900.0,6500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5537&CenterID=152213,
Fairgreen International School L.L.C,International Baccalaureate,Good,dubai land,65000.0,,,84303.0,84303.0,92302.0,92302.0,AED,Annual,52800.0,92302.0,77690.0,7000.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5505&CenterID=152361,
Amity School L.L.C,Indian,Good,al qusais first,17810.0,,,28942.0,32280.0,33394.0,33394.0,AED,Annual,16313.0,33394.0,26115.0,4780.0,6720.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5489&CenterID=152457,
South View School L.L.C,UK,Good,dubai land,,46510.0,47050.0,47591.0,61111.0,66519.0,,AED,Annual,45442.0,66519.0,54600.0,5000.0,18000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5506&CenterID=152519,
The Aquila School,IB,Good,dubai land,,48673.0,51917.0,59489.0,71386.0,71386.0,77876.0,AED,Annual,47555.0,77876.0,60868.0,5980.0,8337.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5509&CenterID=152599,
Al Salam Community School L.L.C,UK,Good,al twar second,,,,31367.0,36775.0,38938.0,41102.0,AED,Annual,23249.0,41102.0,32290.0,1236.0,9200.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5524&CenterID=152894,
Ambassador International Academy L.L.C,International Baccalaureate,Good,al qouz second,56083.0,,,74956.0,82527.0,93297.0,93297.0,AED,Annual,46170.0,93297.0,67891.0,6720.0,13200.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5526&CenterID=500721,
Bright Riders School,Indian,Good,dubai investment park first,19000.0,,,26500.0,28000.0,30000.0,,AED,Annual,19000.0,30000.0,25206.0,2750.0,6500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5508&CenterID=152711,
Global Indian International School L.L.C,Indian,Good,al qouz first,25449.0,,,33085.0,38174.0,41993.0,40769.0,AED,Annual,22378.0,41993.0,31702.0,4500.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5495&CenterID=152540,
Australian International School - Dubai L.L.C,Australian,Good,al barsha second,52000.0,,,71000.0,85000.0,85000.0,,AED,Annual,52000.0,85000.0,63133.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5549&CenterID=501095,
Chinese School Dubai,Chinese,Good,mirdif,,,,30994.0,33207.0,,,AED,Annual,27038.0,32654.0,29954.0,6000.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5541&CenterID=501256,
Al Eman Educational EST,Ministry of Education,Acceptable,al rashidiya,6301.0,,,7637.0,9387.0,,,AED,Annual,6156.0,9387.0,7473.0,4500.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=234&CenterID=5,
Islamic School for Training & Education,Ministry of Education,Acceptable,muhaisnah first,9194.0,,,13520.0,13520.0,13520.0,13520.0,AED,Annual,8983.0,13520.0,12850.0,5500.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=248&CenterID=16,
Dubai Carmel School,UK,Acceptable,al qusais first,,,9121.0,9809.0,11957.0,13333.0,15479.0,AED,Annual,8912.0,15479.0,10925.0,3900.0,9700.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=326&CenterID=39,
Al Maaref American School L.L.C,American,Acceptable,al qusais first,12906.0,,,17326.0,22127.0,30183.0,37134.0,AED,Annual,12610.0,37134.0,21487.0,6500.0,8500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=267&CenterID=23,
United International Private School L.L.C,Philippine,Acceptable,muhaisnah first,5457.0,,,7176.0,9935.0,10426.0,,AED,Annual,5457.0,11990.0,7874.0,6000.0,15000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=322&CenterID=35,
Dubai International Private School,American,Acceptable,al garhoud,15051.0,,,15911.0,19602.0,21701.0,23629.0,AED,Annual,14705.0,23629.0,17212.0,6500.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=216&CenterID=25,
English Language Private School,UK,Acceptable,umm hurair first,,,4528.0,7284.0,8641.0,8641.0,11888.0,AED,Annual,4424.0,11888.0,7465.0,4200.0,5100.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=223&CenterID=53,
Al Arqm Private School,Ministry of Education,Acceptable,al barsha first,9049.0,,,10947.0,12803.0,17430.0,,AED,Annual,8404.0,18346.0,12439.0,5700.0,7500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=185&CenterID=12,
Dubai Modern Education School,American,Acceptable,al mizhar first,11956.0,,,14470.0,16486.0,18499.0,18624.0,AED,Annual,11681.0,18624.0,14079.0,6800.0,7500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=313&CenterID=18,
Arab Unity School L.L.C,UK,Acceptable,al mizhar first,,6462.0,6462.0,7110.0,8402.0,8402.0,10808.0,AED,Annual,6314.0,10808.0,7698.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=214&CenterID=44,
Al Sadiq Islamic English School,UK,Acceptable,al qusais first,,,4687.0,5384.0,6764.0,9499.0,,AED,Annual,4579.0,9499.0,5995.0,3250.0,7350.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=283&CenterID=68,
Grammar School,UK,Acceptable,al garhoud,,5120.0,5120.0,5760.0,7040.0,7040.0,7040.0,AED,Annual,5002.0,7040.0,5862.0,3950.0,6950.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=279&CenterID=60,
Queen International School,UK,Acceptable,deira,,17175.0,15554.0,17494.0,19445.0,23337.0,29170.0,AED,Annual,15197.0,29170.0,19220.0,3800.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=188&CenterID=40,
ELITE ENGLISH SCHOOL L.L.C,Indian,Acceptable,deira,4845.0,,,5538.0,6168.0,10318.0,10697.0,AED,Annual,4734.0,10697.0,6219.0,5500.0,6500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=244&CenterID=76,
Crescent English School,Indian,Acceptable,al qusais first,2859.0,,,3276.0,3722.0,7688.0,10374.0,AED,Annual,2793.0,10374.0,4051.0,4100.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=323&CenterID=80,
The Central School,Indian,Acceptable,al nahda second,4177.0,,,5260.0,5932.0,7352.0,7352.0,AED,Annual,4081.0,7352.0,5296.0,2250.0,5000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=246&CenterID=84,
The International School of Choueifat,SABIS (UK/US),Acceptable,al safouh first,24000.0,,,29446.0,35109.0,,,AED,Annual,21393.0,41906.0,32192.0,8400.0,8400.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=220&CenterID=85,
Buds Public School,Indian,Acceptable,muhaisnah first,8552.0,,,12830.0,14051.0,15271.0,15271.0,AED,Annual,8356.0,15271.0,12509.0,1000.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=241&CenterID=87,
Pakistan Education Academy,Pakistani,Acceptable,umm hurair first,6662.0,,,6803.0,7588.0,9138.0,9138.0,AED,Annual,6369.0,9138.0,7045.0,3780.0,5000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=292&CenterID=100,
Gulf Model School,Indian,Acceptable,muhaisnah first,3966.0,,,5047.0,5768.0,7212.0,7212.0,AED,Annual,3875.0,7212.0,5169.0,4000.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=344&CenterID=94,
Little Flower English School,Indian,Acceptable,hor al anz,3837.0,,,4135.0,,,,AED,Annual,3749.0,4135.0,3867.0,2500.0,5000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=328&CenterID=93,
H.H.Shaikh Rashid Al Maktoum Pakistani School,Pakistani,Acceptable,al qusais first,4800.0,,,5450.0,5450.0,9000.0,9000.0,AED,Annual,4400.0,9000.0,5398.0,4500.0,5250.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=293&CenterID=101,
SCHOOL OF MODERN SKILLS,American,Acceptable,muhaisnah first,18247.0,,,22652.0,24915.0,29572.0,29572.0,AED,Annual,17089.0,29572.0,22426.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=211&CenterID=140,
North American International School L.L.C,American,Acceptable,al mizhar first,30664.0,,,33115.0,42929.0,49061.0,49061.0,AED,Annual,29960.0,49061.0,36546.0,3500.0,7300.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=353&CenterID=127,
Deira Private School,UK,Acceptable,al twar first,,22867.0,22867.0,35739.0,41147.0,,,AED,Annual,22342.0,41147.0,30610.0,6000.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4297&CenterID=339,
The Philippine School,Philippine,Acceptable,muhaisanah second,6443.0,,,8308.0,11076.0,14169.0,16294.0,AED,Annual,6295.0,16294.0,9386.0,3700.0,6500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4296&CenterID=265,
International Academic School,American,Acceptable,al warqa first,14992.0,,,17120.0,21865.0,26551.0,28112.0,AED,Annual,14648.0,28112.0,19231.0,4250.0,8600.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=306&CenterID=141,
The International School of Choueifat (Branch),SABIS (UK/US),Acceptable,dubai investment park first,28100.0,,,35304.0,41791.0,48995.0,50077.0,AED,Annual,25694.0,50077.0,39675.0,6600.0,8100.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4419&CenterID=872,
Oak Tree Primary School,UK,Acceptable,al qouz fourth,,16225.0,17305.0,27041.0,,,,AED,Annual,15852.0,27041.0,21184.0,5750.0,8250.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5477&CenterID=151864,
GEMS Albarsha National School - Dubai Branch,UK,Acceptable,al barsha south second,,45428.0,56244.0,56244.0,61652.0,67060.0,67060.0,AED,Annual,44385.0,67060.0,58806.0,7350.0,9250.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5501&CenterID=152733,
Woodlem Park School L.L.C,Indian,Acceptable,al qusais first,14216.0,,,20778.0,23102.0,24598.0,,AED,Annual,12312.0,24153.0,18272.0,4100.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4447&CenterID=1687,
Vernus International Primary School - FZCO,American,Acceptable,dubai silicon oasis,35704.0,,,42419.0,,,,AED,Annual,34884.0,42419.0,38145.0,4000.0,11000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5539&CenterID=151831,
Ignite School L.L.C,American,Acceptable,al warqa third,29682.0,,,38893.0,41964.0,44010.0,45034.0,AED,Annual,28000.0,41964.0,35327.0,6000.0,7500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5507&CenterID=152884,
Himayah School For Education Girls - Al Karama,Ministry of Education,Acceptable,al karama,,,,,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5523&CenterID=500572,
Renaissance School L.L.C,American,Acceptable,dubai sports city,36050.0,,,56650.0,56650.0,,,AED,Annual,36050.0,56650.0,45217.0,4000.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5520&CenterID=500447,
Himayah School For Education Boys - Diera (Abu Hail),Ministry of Education,Acceptable,abu hail,,,,,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5522&CenterID=500573,
The Apple International Community School,UK,Acceptable,al karama,,19427.0,19427.0,22052.0,24678.0,24678.0,,AED,Annual,18981.0,23102.0,21072.0,5500.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5556&CenterID=501709,
The School of Research Science US High School L.L.C,American,Acceptable,al warqa fourth,,,,,60168.0,63765.0,70039.0,AED,Annual,58787.0,70039.0,62806.0,7000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5536&CenterID=501460,
Cedar School L.L.C,UK,Acceptable,al warqa first,,25244.0,26275.0,35033.0,39669.0,41215.0,,AED,Annual,25244.0,39669.0,32504.0,5500.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5538&CenterID=501052,
Dubai Schools Corporation Al Khawaneej L.L.C,American,Acceptable,al khwaneej second,33161.0,,,42271.0,49742.0,,,AED,Annual,29900.0,40280.0,35088.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5547&CenterID=502020,
International School of Arts & Sciences L.L.C,American,Good,al warqa first,23540.0,,,28250.0,31782.0,31782.0,32958.0,AED,Annual,1.0,32958.0,26838.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=351&CenterID=340,
Pace Modern British School L.L.C,UK,Acceptable,al rashidiya,,20267.0,20267.0,24783.0,27430.0,,,AED,Annual,19802.0,27430.0,23377.0,4500.0,7000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5554&CenterID=502182,
Bright Learners Private School L.L.C,American,Acceptable,al rashidiya,27851.0,,,32719.0,32719.0,,,AED,Annual,24041.0,32719.0,29028.0,7000.0,8200.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5540&CenterID=500607,
Al Ghaf Private School L.L.C,UK,Acceptable,jabal ali first,,35000.0,35000.0,49500.0,51000.0,,,AED,Annual,35000.0,51000.0,45150.0,8000.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5527&CenterID=500819,
Dubai Schools Corporation L.L.C Albarsha,American,Acceptable,al barsha south second,33161.0,,,42271.0,49742.0,,,AED,Annual,29900.0,42271.0,35925.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5548&CenterID=502089,
Emirates National Schools - Dubai Branch,American,Acceptable,al khwaneej second,31000.0,,,45000.0,45000.0,,,AED,Annual,25000.0,45000.0,36200.0,6000.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5551&CenterID=502174,
national charity school primary,Ministry of Education,Acceptable,abu hail,,,,5377.0,,,,AED,Annual,4614.0,5377.0,4830.0,3300.0,3800.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5553&CenterID=502201,
Arcadia Global School,UK,,al furjan,,40000.0,40000.0,45000.0,61000.0,,,AED,Annual,40000.0,61000.0,47200.0,5750.0,10400.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5567&CenterID=503416,
Icademy Middle East Fz.Llc,American,,dubai knowledge park,19828.0,,,19828.0,27767.0,27767.0,27767.0,AED,Annual,19373.0,27767.0,22015.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4398&CenterID=338,
The National Charity School for Boys L.L.C,Ministry of Education,Acceptable,al garhoud,,,,5377.0,6033.0,8656.0,8656.0,AED,Annual,5254.0,8656.0,7152.0,3300.0,3800.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5558&CenterID=502213,
Glendale International School LLC,UK,,oud metha,,42000.0,42000.0,55200.0,57600.0,,,AED,Annual,42000.0,55200.0,48933.0,5700.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5581&CenterID=503932,
Lycée français international (Branch),French,,mudon,75000.0,,,80000.0,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5592&CenterID=504953,
GEMS Metropole School - Al Waha,UK,,emirates road,,40000.0,40000.0,45000.0,50000.0,53000.0,,AED,Annual,40000.0,50000.0,45455.0,6150.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5578&CenterID=503690,
Dewvale School L.L.C,Indian,,al qouz third,13538.0,,,19787.0,21869.0,,,AED,Annual,12000.0,19787.0,15682.0,4000.0,6000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5576&CenterID=503607,
Ambassador International Academy L.L.C (Branch),International Baccalaureate,,mankhool,65000.0,,,85000.0,95000.0,95000.0,95000.0,AED,Annual,0.0,0.0,0.0,5000.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5616&CenterID=502551,
Dhruv Global school,Indian,,al barsha south,18000.0,,,24000.0,26400.0,,,AED,Annual,18000.0,24000.0,20400.0,5000.0,7000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5579&CenterID=503799,
Dubai British School Jumeira,UK,,jumeira second,,51477.0,51477.0,58836.0,69872.0,,,AED,Annual,43500.0,69872.0,55462.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5584&CenterID=504739,
Pace Springfield International School,UK,,al awir first,,25000.0,25000.0,30800.0,35000.0,,,AED,Annual,0.0,0.0,0.0,5500.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5593&CenterID=505020,
New Dawn Private School,UK,,muhaisanah fourth,,21500.0,21500.0,24000.0,25000.0,,,AED,Annual,0.0,0.0,0.0,4500.0,6500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5590&CenterID=504994,
LYCEE FRANCAIS JEAN MERMOZ SOUTH L.L.C,French,,al barsha south,49000.0,,,60000.0,66000.0,72000.0,74000.0,AED,Annual,0.0,0.0,0.0,9000.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5585&CenterID=504283,
Dubai British School Mira,UK,,arabian ranches,,51477.0,51477.0,58836.0,69872.0,,,AED,Annual,0.0,0.0,0.0,5000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5601&CenterID=505058,
GEMS School of Research and Innovation,UK,,dubai sports city,,116000.0,116000.0,152000.0,161000.0,,,AED,Annual,0.0,0.0,0.0,9000.0,14000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5591&CenterID=505008,
GEMS Founders School DS DWC-LLC,UK,,dubai south hq,,36400.0,39900.0,44800.0,47600.0,,,AED,Annual,0.0,0.0,0.0,6600.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5589&CenterID=505334,
BC Academy International School L.L.C,UK,,umm suqeim second,,,,60000.0,60000.0,,,AED,Annual,0.0,0.0,0.0,7000.0,12000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5596&CenterID=505085,
Amity English School,UK,,al qusais first,,24000.0,24000.0,28000.0,31000.0,,,AED,Annual,0.0,0.0,0.0,4780.0,6720.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5599&CenterID=505385,
Dubai International Academy Town Square,International Baccalaureate,,dubai land,75000.0,,,95000.0,110000.0,120000.0,120000.0,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5614&CenterID=506085,
Horizon English School Town Square,UK,,dubai land,,,,,68000.0,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5606&CenterID=506140,
Al Fanar School,UK,,nadd al shiba fourth,,67086.0,67086.0,78334.0,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5604&CenterID=505784,
Victory Heights Primary School City of Arabia LLC,UK,,wadi al safa 2,,40000.0,44000.0,57000.0,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5602&CenterID=506257,
The Scholars School,UK,,al qouz first,,,,,85000.0,89000.0,95000.0,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5620&CenterID=506837,
Dubai English Speaking School - Academic City,UK,,academic city,,65000.0,75000.0,75000.0,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5607&CenterID=506702,
Hampton Heights International School,UK,,al twar third,,19500.0,19500.0,26000.0,26000.0,,,AED,Annual,0.0,0.0,0.0,450.0,700.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5594&CenterID=505137,
Rugby School L.L.C-FZ,UK,,meydan city,,,,,,,,AED,Annual,0.0,0.0,0.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5608&CenterID=506012,
