school_name,curriculum,spea_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,spea_lowest_fee,spea_highest_fee,transport_fee_min_aed,transport_fee_max_aed,transport_notes,source_url,pdf_url,notes
Amity Pvt. School LLC,Indian,Very Good,Sharjah - Muwailih,14760.0,,,21628.0,24293.0,25420.0,25420.0,AED,Annual,14760.0,25420.0,,,,https://spea.shj.ae/en/educational-institutions/schools/217,https://spea.shj.ae/media/hxhnsqx3/speaschoolfees_217.pdf,
American Gulf School L.L.C,American,Good,Sharjah - Al Rahmaniyah 6,40640.0,,,55040.0,64240.0,72040.0,75440.0,AED,Annual,40640.0,75440.0,,,,https://spea.shj.ae/en/educational-institutions/schools/412,https://spea.shj.ae/media/zf1amr2f/speaschoolfees_412.pdf,
American Private School of Kalba,American,Good,Eastern Region - Kalba,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/166,https://spea.shj.ae/media/zc5pnebz/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A8%D9%83%D9%84%D8%A8%D8%A7%D8%A1.pdf,No fee data extracted
American School of Creative Science Pvt Per Person Company. LLC,American,Good,Sharjah - Industrial Area 18,23430.0,,,,,,,AED,Annual,23430.0,23430.0,,,,https://spea.shj.ae/en/educational-institutions/schools/134,https://spea.shj.ae/media/whje1zrt/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D9%84%D9%84%D8%A7%D8%A8%D8%AF%D8%A7%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
American School of Creative Scince Pvt - Branch 1,American,Good,Sharjah - Al Liyah,20705.0,,,,,,,AED,Annual,20705.0,20705.0,,,,https://spea.shj.ae/en/educational-institutions/schools/147,https://spea.shj.ae/media/p4akmaxb/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D9%84%D9%84%D8%A5%D8%A8%D8%AF%D8%A7%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-1.pdf,
Australian International Pvt. School,Australian,Very Good,Sharjah - Industrial Area 18,38077.0,,,50999.0,54199.0,62681.0,69129.0,AED,Annual,38077.0,69129.0,,,,https://spea.shj.ae/en/educational-institutions/schools/123,https://spea.shj.ae/media/fxufo4tq/speaschoolfees_123.pdf,
Beaconhouse Al Khaleej International School LLC,American,Good,Sharjah - Al Azra,16285.0,,,,,,,AED,Annual,16285.0,16285.0,,,,https://spea.shj.ae/en/educational-institutions/schools/102,https://spea.shj.ae/media/3xfffcw5/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A8%D9%8A%D9%83%D9%88%D9%86-%D9%87%D8%A7%D9%88%D8%B3-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D9%87.pdf,
Aspam Indian Int.  Pvt. School. LLC,Indian,Good,Sharjah - Al Azra,13135.0,,,,,,,AED,Annual,13135.0,13135.0,,,,https://spea.shj.ae/en/educational-institutions/schools/107,https://spea.shj.ae/media/twzlax2q/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A3%D8%B3%D8%A8%D8%A7%D9%85-%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Darb Al Saada Private School,Moe,Good,Sharjah - Al Ghubaiba,12000.0,,,18000.0,22000.0,26000.0,28000.0,AED,Annual,12000.0,28000.0,,,,https://spea.shj.ae/en/educational-institutions/schools/426,https://spea.shj.ae/media/nvqcfzzw/speaschoolfees_426.pdf,
Bhavans Pearl Wisdom School L.L.C,Indian,Not Reviewed,Sharjah - Al Azra,11200.0,,,15900.0,17900.0,20200.0,21200.0,AED,Annual,11200.0,21200.0,,,,https://spea.shj.ae/en/educational-institutions/schools/440,https://spea.shj.ae/media/mejokks3/speaschoolfees_440.pdf,
East Coast Eng school,Indian,Acceptable,Sharjah - Khorfakkan,3544.0,,,4253.0,4557.0,5063.0,,AED,Annual,3544.0,5063.0,,,,https://spea.shj.ae/en/educational-institutions/schools/187,https://spea.shj.ae/media/x4qmcd4y/speaschoolfees_187.pdf,
Delhi Pvt.School LLC.,Indian,Very Good,Sharjah - Muwailih,12540.0,,,,,,,AED,Annual,12540.0,12540.0,,,,https://spea.shj.ae/en/educational-institutions/schools/203,https://spea.shj.ae/media/e2ootgbb/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%AF%D9%84%D9%87%D9%8A-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Emirates American School,American,Good,Sharjah - Al Falah 6,18060.0,,,,,,,AED,Annual,18060.0,18060.0,,,,https://spea.shj.ae/en/educational-institutions/schools/145,https://spea.shj.ae/media/qqnbchwm/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9.pdf,
Cloud British Pvt. School,British,Acceptable,Sharjah - Al Ramla,,19000.0,19000.0,25000.0,29000.0,,,AED,Annual,19000.0,29000.0,,,,https://spea.shj.ae/en/educational-institutions/schools/431,https://spea.shj.ae/media/frij1pbx/speaschoolfees_431.pdf,
Emirates National School,Indian,Good,Sharjah - Al Nakheelat,3940.0,,,,,,,AED,Annual,3940.0,3940.0,,,,https://spea.shj.ae/en/educational-institutions/schools/171,https://spea.shj.ae/media/hmxlbguz/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9.pdf,
Al Dawha School LLC.,American,Good,Sharjah - Al Azra,10790.0,,,,,,,AED,Annual,10790.0,10790.0,,,,https://spea.shj.ae/en/educational-institutions/schools/136,https://spea.shj.ae/media/ay0a13gm/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%86%D8%AE%D8%A8%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Brilliant Int. Private School,British,Good,Sharjah - Muwailih,,14560.0,14560.0,19365.0,22800.0,26215.0,28600.0,AED,Annual,14560.0,28600.0,3250,4000,"bips.ae — Sharjah AED 3,250 · Ajman AED 3,750 · Dubai (Silicon Oasis/Mirdif) AED 4,000",https://spea.shj.ae/en/educational-institutions/schools/104,https://spea.shj.ae/media/hc0nouy1/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A8%D8%B1%D9%8A%D9%84%D9%8A%D9%86%D8%AA-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%A7%D8%B4%D9%8A%D9%88%D9%86%D8%A7%D9%84-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Emirates National Schools,American,Very Good,Sharjah - Al Rahmaniyah 3,17950.0,,,,,,,AED,Annual,17950.0,17950.0,,,,https://spea.shj.ae/en/educational-institutions/schools/141,https://spea.shj.ae/media/apocr3pf/%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9.pdf,
ENGLISH PRIVATE SCHOOL OF KALBA,British,Good,Eastern Region - Kalba - Al Mahatta,,12350.0,12350.0,15265.0,16855.0,22040.0,23175.0,AED,Annual,12350.0,23175.0,,,,https://spea.shj.ae/en/educational-institutions/schools/144,https://spea.shj.ae/media/f1egzgch/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A8%D9%83%D9%84%D8%A8%D8%A7%D8%A1.pdf,
EMIRATES EDUCATIONAL CORPORATION EMIRATES PRIVATE SCHOOL L.L.C,Moe,Good,Sharjah - Al Manakh,7945.0,,,,,,,AED,Annual,7945.0,7945.0,,,,https://spea.shj.ae/en/educational-institutions/schools/131,https://spea.shj.ae/media/vgubhhww/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Far Eastern Pvt. School - Branch 1,Pilipinas,Acceptable,Sharjah - Al Abar,4617.0,,,5660.0,7255.0,8541.0,9619.0,AED,Annual,4617.0,9619.0,,,,https://spea.shj.ae/en/educational-institutions/schools/214,https://spea.shj.ae/media/drna0svt/speaschoolfees_214.pdf,
Gems Cambridge International Private School Sharjah,British,Very Good,Sharjah - Muwailih,,22175.0,22175.0,25695.0,28030.0,32905.0,34800.0,AED,Annual,22175.0,34800.0,4830,6390,"gemscambridgeschool-sharjah.com — Muwailah AED 4,830 · Sharjah AED 5,350 · Dubai AED 5,870–6,390",https://spea.shj.ae/en/educational-institutions/schools/352,https://spea.shj.ae/media/xbxjjylk/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%AC%D9%8A%D9%85%D8%B3-%D9%83%D8%A7%D9%85%D8%A8%D8%B1%D9%8A%D8%AF%D8%AC-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%A7%D8%B4%D9%88%D9%86%D8%A7%D9%84-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Gems Westminster School Sharjah LLC,British,Good,Sharjah - Muwailih,,13765.0,13715.0,16990.0,18850.0,23920.0,27005.0,AED,Annual,13715.0,27005.0,,,,https://spea.shj.ae/en/educational-institutions/schools/120,https://spea.shj.ae/media/dl1gb3ek/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%AC%D9%8A%D9%85%D8%B3-%D9%88%D9%8A%D8%B3%D8%AA%D9%85%D9%86%D8%B3%D8%AA%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
German INT. School Sharjah,German,Good,Sharjah - Al Abar,21525.0,,,38392.0,38428.0,49985.0,50051.0,AED,Annual,21525.0,50051.0,,,,https://spea.shj.ae/en/educational-institutions/schools/215,https://spea.shj.ae/media/0grj420t/speaschoolfees_215.pdf,
Gems Millennium Private School,Indian,Outstanding,Sharjah - Muwailih,17885.0,,,,,,,AED,Annual,17885.0,17885.0,,,,https://spea.shj.ae/en/educational-institutions/schools/198,https://spea.shj.ae/media/xbkiexpa/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%AC%D9%8A%D9%85%D8%B3-%D9%85%D9%8A%D9%84%D9%8A%D9%86%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
French International Private School - SHJ,French,Very Good,Sharjah - Al Abar,28000.0,,,46400.0,46400.0,,,AED,Annual,28000.0,46400.0,,,,https://spea.shj.ae/en/educational-institutions/schools/206,https://spea.shj.ae/media/zo5bfi1b/speaschoolfees_206.pdf,
Happy Home Eng. School L.L.C,British,Acceptable,Sharjah - Al Ghubaiba,,,4900.0,5400.0,5400.0,,,AED,Annual,4900.0,5400.0,,,,https://spea.shj.ae/en/educational-institutions/schools/173,https://spea.shj.ae/media/tgbipmmg/speaschoolfees_173.pdf,
Gulf Asian English Schools LLC,Indian,Good,Sharjah - Muwailih,5730.0,,,,,,,AED,Annual,5730.0,5730.0,,,,https://spea.shj.ae/en/educational-institutions/schools/195,https://spea.shj.ae/media/drra1hfl/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9-%D8%A7%D9%84%D8%A2%D8%B3%D9%8A%D9%88%D9%8A%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Indian Excellent Pvt. School,Indian,Acceptable,Sharjah - Al Azra,4354.0,,,5012.0,7392.0,9467.0,10581.0,AED,Annual,4354.0,10581.0,,,,https://spea.shj.ae/en/educational-institutions/schools/164,https://spea.shj.ae/media/pxinaxzu/speaschoolfees_164.pdf,
Far Eastern Pvt.School,Pilipinas,Good,Sharjah - Al Shahba,4720.0,,,,,,,AED,Annual,4720.0,4720.0,,,,https://spea.shj.ae/en/educational-institutions/schools/148,https://spea.shj.ae/media/pgdex22u/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D9%81%D8%A7%D8%B1-%D8%A7%D9%8A%D8%B3%D8%AA%D8%B1%D9%86-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Ibn Seena English High School L.L.C.,British,Good,Sharjah - Al Shahba,,,5775.0,8670.0,8755.0,9455.0,12105.0,AED,Annual,5775.0,12105.0,3400,3750,"ibnseenaschool.net PDF — Sharjah AED 3,400 · Ajman AED 3,750",https://spea.shj.ae/en/educational-institutions/schools/110,https://spea.shj.ae/media/kounzvsn/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D8%A8%D9%86-%D8%B3%D9%8A%D9%86%D8%A7-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Khalifah Al Hamza American Private School - L - L.L.C - S.P,American,Good,Central Region - Al Madam,22300.0,,,41550.0,41550.0,,,AED,Annual,22300.0,41550.0,,,,https://spea.shj.ae/en/educational-institutions/schools/218,https://spea.shj.ae/media/ciwbbrta/speaschoolfees_218.pdf,
India International School LLC,Indian,Good,Sharjah - Muwailih,7985.0,,,,,,,AED,Annual,7985.0,7985.0,,,,https://spea.shj.ae/en/educational-institutions/schools/152,https://spea.shj.ae/media/or4hyfkr/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A%D8%A9-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%A7%D8%B4%D9%88%D9%86%D8%A7%D9%84.pdf,
Leaders Private School,Indian,Good,Sharjah - Al Azra,8815.0,,,10712.0,11737.0,11788.0,14043.0,AED,Annual,8815.0,14043.0,,,,https://spea.shj.ae/en/educational-institutions/schools/138,https://spea.shj.ae/media/hffjvh0h/speaschoolfees_138.pdf,
